DESCRIPTION,SHOWROOM COLOR,ALGO HEXA1,ALGO CONFUSED1,ALGO PRECISE1,ALGO HEXA2,ALGO CONFUSED2,ALGO PRECISE2,ALGO HEXA3,ALGO CONFUSED3,ALGO PRECISE3,ALGO HEXA4,ALGO CONFUSED4,ALGO PRECISE4,ALGO HEXA5,ALGO CONFUSED5,ALGO PRECISE5
Jupe motifs fantaisie   Jaune, jaune,#efcdb5,Silver,Moccasin,#eecdb7,Silver,Moccasin,#bdb9aa,Silver,Silver,#e3e2d0,Silver,LightGrey,,,
Jupe patineuse   Ecru, écru  ,#e0af99,Silver,Tan,#eac7b3,Silver,LightPink,#e0bca5,Silver,Tan,#dbdbdd,Silver,LightGrey,,,
Jupe volantée   Noir, noir  ,#ebc0a9,Silver,LightPink,#383135,Black,MidnightBlue,#e4c6ad,Silver,LightPink,#222023,Black,Black,,,
Jupe motifs fantaisie   Ecru, écru,#ecc9b7,Silver,Pink,#ecc9b4,Silver,LightPink,#dcd6d8,Silver,LightGrey,#afa5b3,Silver,DarkGrey,,,
Jupe motifs fantaisie   Ecru, écru,#ecc9b7,Silver,Pink,#ecc9b4,Silver,LightPink,#dcd6d8,Silver,LightGrey,#afa5b3,Silver,DarkGrey,,,
Jupe en jean   Bleu, bleu  ,#e6bda9,Silver,LightPink,#e9c6b1,Silver,LightPink,#a5c7e2,Silver,LightBlue,#b0d3e9,Silver,LightBlue,,,
Jupe en jean   Bleu, bleu et écru  ,#e9c1ad,Silver,LightPink,#e9c5b0,Silver,LightPink,#6191c2,Gray,RoyalBlue,#628bb3,Gray,Grey,,,
Jupe irisée   Blanc, blanc et argenté  ,#e1b79f,Silver,Tan,#d8b29b,Silver,Tan,#7e7c7e,Gray,Grey,#dbdad8,Silver,LightGrey,,,
Mini-jupe Rose pâle, blanc,#eec7b4,Silver,LightPink,#ebc7b1,Silver,LightPink,#574d50,Gray,DimGrey,#ead7cb,Silver,LightGrey,,,
Jupe en guipure   Blanc, blanc  ,#eccfb9,Silver,Moccasin,#e3bea7,Silver,Tan,#ecceb9,Silver,Moccasin,#ddd0c9,Silver,LightGrey,,,
